target,model_targets,model,nmr_only,dataset_fraction,max_evals,accuracy_mean,accuracy_lb,accuracy_hb,f1_mean,f1_lb,f1_hb
metal,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,100,0.9269073966220152,0.9227133945235182,0.931101398720512,0.9270129961927916,0.9227965767585988,0.9312294156269844
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,100,0.4309260337798485,0.4239976019515599,0.437854465608137,0.3751910096480574,0.3680446546747996,0.3823373646213153
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,100,0.5183750728013978,0.5120539056050017,0.5246962399977939,0.3539879245101773,0.3468332997941466,0.3611425492262081
metal,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,100,0.9144437973209084,0.9117191820914572,0.91716841255036,0.9144012902367612,0.9116915653176166,0.9171110151559058
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,100,0.4348864298194524,0.4297996522324064,0.4399732074064985,0.3985977556896334,0.3940427670645781,0.4031527443146888
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",random_forest,False,1.0,100,0.5434187536400698,0.5319361757951057,0.5549013314850338,0.385821722089362,0.3721837474416358,0.3994596967370881
metal,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,100,0.9269073966220152,0.9227133945235182,0.931101398720512,0.9270129961927916,0.9227965767585988,0.9312294156269844
E_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,100,0.4309260337798485,0.4239976019515599,0.437854465608137,0.3751910096480574,0.3680446546747996,0.3823373646213153
X3_ligand,"['metal', 'E_ligand', 'X3_ligand']",extra_trees,False,1.0,100,0.5183750728013978,0.5120539056050017,0.5246962399977939,0.3539879245101773,0.3468332997941466,0.3611425492262081
X3_ligand,"['X3_ligand', 'E_ligand']",random_forest,False,1.0,100,0.5434187536400698,0.5319361757951057,0.5549013314850338,0.385821722089362,0.3721837474416358,0.3994596967370881
E_ligand,"['X3_ligand', 'E_ligand']",random_forest,False,1.0,100,0.4348864298194524,0.4297996522324064,0.4399732074064985,0.3985977556896334,0.3940427670645781,0.4031527443146888
X3_ligand,"['X3_ligand', 'E_ligand']",extra_trees,False,1.0,100,0.5183750728013978,0.5120539056050017,0.5246962399977939,0.3539879245101773,0.3468332997941466,0.3611425492262081
E_ligand,"['X3_ligand', 'E_ligand']",extra_trees,False,1.0,100,0.4309260337798485,0.4239976019515599,0.437854465608137,0.3751910096480574,0.3680446546747996,0.3823373646213153
